"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U6";"WQFN-HR18__RYK_TEX";1;"BQ25620RYKR";;;
2;"J1,J6";"CONN_X.FL-R-SMT-180_HIR";2;"Conn_Coaxial";;;
3;"J2";"CONN_503480-0540_MOL";1;"Conn_01x06_Socket";;;
4;"C10,C18,C31,C17,C20,C8,C11,C4,C28,C13,C27,C14,C9,C15,C12,C19,C16";"C_0402_1005Metric";17;"0.1uF";;;
5;"C37";"C_0402_1005Metric";1;"47nF";;;
6;"U9";"Spark_SR1120_QFN32";1;"~";;;
7;"U2";"SOT-23-5";1;"AP2112K-1.8";;;
8;"MK2,MK1";"Infineon_PG-LLGA-5-2";2;"IM73A135V01";;;
9;"J5";"USB_C_Receptacle_GCT_USB4085";1;"USB_C_Receptacle_USB2.0_14P";;;
10;"J4";"Jack_3.5mm_CUI_SJ2-3593D-SMT_Horizontal";1;"AudioJack3_Switch";;;
11;"R12,R16,R10,R9";"R_0402_1005Metric";4;"100kΩ";;;
12;"U3";"LQFP-144_20x20mm_P0.5mm";1;"STM32H753ZITx";;;
13;"C1,C40,C39,C7,C2,C36,C38";"C_0402_1005Metric";7;"10uF";;;
14;"C35";"C_0402_1005Metric";1;"4.7µF";;;
15;"U4";"ADXL382_Ultralib";1;"ADXL382-1BCCZ-RL";;;
16;"L1";"L_0603_1608Metric";1;"180nH";;;
17;"Y2";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"32.768 kHz";;;
18;"C32,C23,C29,C30,C26";"C_0402_1005Metric";5;"1uF";;;
19;"C33,C25,C34,C3,C6,C24";"C_0402_1005Metric";6;"10pF";;;
20;"TP1,TP4,TP3,TP2";"TestPoint_Pad_1.0x1.0mm";4;"TestPoint";;;
21;"U5";"ADAU1787_Ultralib";1;"ADAU1787BCBZRL";;;
22;"U1";"SOT-223-3_TabPin2";1;"AP7361C-33E";;;
23;"R2,R1";"R_0402_1005Metric";2;"5.1k";;;
24;"L2";"L_0603_1608Metric";1;"1.5uH";;;
25;"R3";"R_0402_1005Metric";1;"10k";;;
26;"U7";"BGM220S_SIL";1;"BGM220SC12WGA2R";;;
27;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
28;"T1";"Balun_Johanson_1.6x0.8mm";1;"Transformer_1P_1S";;;
29;"R4,R5";"R_0402_1005Metric";2;"2.2kΩ";;;
30;"R6";"R_0402_1005Metric";1;"160Ω";;;
31;"R8,R15,R11,R7";"R_0402_1005Metric";4;"10kΩ";;;
32;"C21,C22";"C_0402_1005Metric";2;"2.2uF";;;
33;"U8";"SOT-23-6";1;"USBLC6-2SC6";;;
34;"J3";"PinHeader_1x02_P2.00mm_Vertical";1;"Conn_01x02";;;
