"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"MK1,MK2";"Infineon_PG-LLGA-5-2";2;"IM73A135V01";;;
2;"J4";"Jack_3.5mm_CUI_SJ2-3593D-SMT_Horizontal";1;"AudioJack3_Switch";;;
3;"J1,J6";"CONN_X.FL-R-SMT-180_HIR";2;"Conn_Coaxial";;;
4;"C2,C38,C36,C1,C5,C7";"C_0402_1005Metric";6;"10uF";;;
5;"U7";"BGM220S_SIL";1;"BGM220SC12WGA2R";;;
6;"J2";"JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical";1;"Conn_01x04_Socket";;;
7;"C37";"C_0402_1005Metric";1;"47nF";;;
8;"R11,R16,R10,R9";"R_0402_1005Metric";4;"100kΩ";;;
9;"R8,R7";"R_0402_1005Metric";2;"120Ω";;;
10;"R6";"R_0402_1005Metric";1;"226Ω";;;
11;"L2";"L_0603_1608Metric";1;"1.5uH";;;
12;"R12";"R_0402_1005Metric";1;"220Ω";;;
13;"U4";"ADXL382_Ultralib";1;"ADXL382-1BCCZ-RL";;;
14;"L1";"L_0603_1608Metric";1;"180nH";;;
15;"Y2";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"32.768 kHz";;;
16;"C18,C10,C31,C17,C20,C8,C11,C4,C28,C13,C27,C14,C9,C15,C12,C19,C16";"C_0402_1005Metric";17;"0.1uF";;;
17;"C32,C23,C29,C30,C26";"C_0402_1005Metric";5;"1uF";;;
18;"C33,C25,C34,C3,C6,C24";"C_0402_1005Metric";6;"10pF";;;
19;"TP1,TP2,TP3,TP4";"TestPoint_Pad_1.0x1.0mm";4;"TestPoint";;;
20;"U5";"ADAU1787_Ultralib";1;"ADAU1787BCBZRL";;;
21;"U1";"SOT-223-3_TabPin2";1;"AP7361C-33E";;;
22;"R14,R13";"R_0402_1005Metric";2;"100Ω";;;
23;"J5";"USB_C_Receptacle_GCT_USB4085";1;"USB_C_Receptacle_USB2.0_14P";;;
24;"R2,R1";"R_0402_1005Metric";2;"5.1k";;;
25;"U2";"SOT-23-5";1;"AP2112K-1.8";;;
26;"C21,C22";"C_0402_1005Metric";2;"2.2uF";;;
27;"R3";"R_0402_1005Metric";1;"10k";;;
28;"U9";"Spark_SR1120_QFN32";1;"~";;;
29;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
30;"T1";"Balun_Johanson_1.6x0.8mm";1;"Transformer_1P_1S";;;
31;"R4,R5";"R_0402_1005Metric";2;"2.2kΩ";;;
32;"R15";"R_0402_1005Metric";1;"10kΩ";;;
33;"U8";"SOT-23-6";1;"USBLC6-2SC6";;;
34;"SW1";"SW_Push_1P1T_NO_CK_KMR2";1;"SW_Push";;;
35;"J3";"PinHeader_1x02_P2.00mm_Vertical";1;"Conn_01x02";;;
36;"U3";"LQFP-144_20x20mm_P0.5mm";1;"STM32H753ZITx";;;
37;"U6";"WQFN24_RTW_TEX-M";1;"BQ25616JRTWT";;;
